creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
José Carratu,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Alejandro Castro Leñero,Mexico,Faculty of Arts and Design,,Mexico City,,,male,,,assinatura abreviada; não foi possível desambiguar com segurança,,,,MAC,MAC,,,,,,,,,19.430457906,-99.141684761,100.0,,,
José Claudio Da Silva,Brazil,,,,,,male,,,instituição identificada em biografias do artista,,,,MAC; outros,MAC; outros,"Recife, Brasil",Escola de Belas Artes da Universidade Federal de Pernambuco,c. 1960s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,media,MAC USP,,,,,,
José de Guimarães,Portugal,,,Guimarães,,,male,,,,,,,MAC,MAC,,,,,,,,,41.4419546,-8.2956069,100.0,,,
José de Quadros,,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Gamarra,Uruguay,,,Tacuarembó,,,male,,,em 1959 realiza estudos de gravura no Rio com bolsa Itamarati,,,,MAC; outros,MAC; outros,"Montevidéu, Uruguai; Rio de Janeiro, Brasil; Rio de Janeiro, Brasil",School of Fine Arts of Montevideo; Museum of Modern Art in Rio de Janeiro; Institute of Fine Arts in Praia Vermelha,s.d.; 1959; 1959,https://www.josegamarra.org/en/biography/,https://www.josegamarra.org/en/biography/,https://www.josegamarra.org/en/biography/,alta,MAC USP,-31.7305323,-55.9741865,100.0,,,
José Guyer Salles,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
José Júlio de Calasans Neto,Brazil,,,Salvador,,Salvador,male,,,,,,,MAC,MAC,,,,,,,,,-12.9641527,-38.5058208,100.0,-12.9641527,-38.5058208,100.0
José Laterza Parodi,Paraguay,,,Asunción,,Asunción,male,,,,,,,MAC,MAC,,,,,,,,,-25.2999996,-57.6299999,100.0,-25.2999996,-57.6299999,100.0
Josefina Plá,Paraguay,,,Lobos Island,"Recoleta Cemetery, Asuncion",Asunción,female,,,,,,,MAC,MAC,,,,,,,,,-0.85588,-89.56604,100.0,-25.2999996,-57.6299999,100.0
