creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Sebastian Gatz,Kingdom of Denmark,"The Royal Danish Academy of Fine Arts | HDK-Valand Academy of Art and Design, University of Gothenburg | Konstfack University of Arts, Crafts and Design",,,,,male,FILE Festival / site do artista,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Sebastian Tedesco,Argentina,Universidad de Buenos Aires | Universidad Nacional de Tres de Febrero,,Buenos Aires,,,male,CV do artista,médio,,lote_37,,,FILE,FILE,,,,,,,,,-34.6090264,-58.3732215,100.0,,,
Sergio Mantilla,Colombia,Universidad de los Andes | Fundação Armando Álvares Penteado (FAAP),,,,,male,site do artista,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Servando Barreiro,Spain,,,,,,male,,,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Shenuka Corea,Pakistan,New York University Abu Dhabi | School of Visual Arts,,,,,female,NYU Abu Dhabi / School of Visual Arts,alto,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Sigrun Höllrigl,Austria,University of Vienna,,,,,female,site da artista,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Silvia De Gennaro,Italy,,,,,,female,,,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Silvia Laurentiz,Brazil,Fundação Armando Álvares Penteado (FAAP),,,,,female,BV FAPESP / Currículo Lattes,alto,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Silvia Ruzanka,Peru,Smith College | School of the Art Institute of Chicago,,,,,female,site da artista,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Simon Boucly,France,Supinfocom Rubika School,,,,,male,FILE Festival,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Simon Christoph Krenn,Austria,University of Innsbruck | University of Arts and Industrial Design Linz,,,,,male,Art Meets Radical Openness,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Simon Scheiber,Austria,,,,,,male,,,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Simone Rebaudengo,Italy,Delft University of Technology | Polytechnic University of Turin,,,,,male,ThingsCon,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Sofia Pardillo,United States,Pratt Institute,,,,,female,FILE Festival,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Sofie Kampmark,Kingdom of Denmark,"The Animation Workshop, Viborg, Denmark",,,,,female,Danish Film Institute,alto,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Sofía Bertomeu,Spain,,,,,,female,,,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Solimán López,Spain,University of Córdoba,,Burgos,,,male,nota de imprensa / Paris College of Art,médio,,lote_37,,,FILE,FILE,,,,,,,,,42.3408923,-3.6997623,100.0,,,
Sonia Li,Taiwan,New York University Tisch School of the Arts,,,,,female,site da artista / NYU Tisch,médio,,lote_37,,,FILE,FILE,,,,,,,,,,,,,,
Soran Ahmed,Iraq,Universität der Künste Berlin,,,,,male,site pessoal do artista,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Stavros Didakis,Greece,University of Plymouth | Queen's University Belfast | London Metropolitan University,,,,,male,NYU Shanghai | CV do artista,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Stefano Miraglia,Spain,Università degli Studi Roma Tre | École Normale Supérieure de Lyon,,Málaga,,,male,bio do artista,médio,,lote_38,,,FILE,FILE,,,,,,,,,36.7196292,-4.4200007,100.0,,,
Stella Speziali,Switzerland,École cantonale d’art de Lausanne (ECAL) | Zürcher Hochschule der Künste (ZHdK),,,,,female,ZHdK | CV da artista,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Stuart Pound,United Kingdom,Nottingham Trent University,,,,,male,Experimental Cinema,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Susanna Flock,Austria,University of Art and Design Linz | Academy of Fine Arts Vienna,,Graz,,,female,FILE Festival,médio,,16; lote_38,,,FILE,FILE,,,,,,,,,47.0695512,15.4381829,100.0,,,
Susanne Slavick,United States,Yale University | Jagiellonian University | Tyler School of Art,,,,,female,Carnegie Mellon University,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Susanne Wiegner,Germany,Akademie der Bildenden Künste München | Pratt Institute,,,,,female,Haus der Kunst | ADAF,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Sylvain Souklaye,France,autodidata,,,,,male,FILE Festival | Prospect Art,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Takuji Narumi,Japan,The University of Tokyo,,,,,male,The University of Tokyo,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tania Aedo,Mexico,"Escuela Superior de Artes de Yucatán | Escuela Nacional de Artes Visuales, Universidad Nacional Autónoma de México",,,,,female,ZKM | FILE Festival,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tess Adams,United States,Pratt Institute,,,,,,Pratt Institute | FILE Festival,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tessa Peters,Netherlands,Winchester School of Art | Middlesex University,,,,,female,University of Westminster,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Teun Vonk,Kingdom of the Netherlands,Royal Academy of Art,,Uden,,,male,Lab for the Unstable Media,médio,,lote_38,,,FILE,FILE,,,,,,,,,51.659797218,5.621042999,100.0,,,
Thais Weiller,Brazil,University of São Paulo | Centro Universitário de Maringá,,,,,female,ORCID | site da artista,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Thiago Cóser,Brazil,Universidade Estadual de Campinas,,,,,male,FILE Festival,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Thiago Sacramento,Brazil,Universidade Federal de Juiz de Fora | Faculdade Angel Vianna,,,,,,FILE Festival,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Thoka Maer,Germany,Universität der Künste Berlin,,,,,female,site pessoal da artista | Goethe-Institut,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Thy Nguyen,United Kingdom,Bournemouth University,,,,,female,FILE Festival,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Timothy Weaver,United States,University of Colorado Boulder | Purdue University,,,,,male,University of Denver,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tivon Rice,Netherlands,University of Colorado Boulder | University of Washington,,,,,male,DXARTS | Artist Trust,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tom Morris,,,,,,,male,,,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tomek Jarolim,France,École supérieure d'art d'Aix-en-Provence | School of the Art Institute of Chicago,,Aix-en-Provence,,,male,FILE Festival,médio,,lote_38,,,FILE,FILE,,,,,,,,,43.529850239,5.447376271,100.0,,,
Tommy Becker,United States,San Francisco Art Institute | California College of the Arts,,,,,male,FILE Festival | Canyon Cinema,alto,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Toni Mitjanit,Spain,Universitat de les Illes Balears | Universitat Oberta de Catalunya | Escola Superior de Disseny de Palma,,,,,male,Technarte | FILE Festival,médio,,lote_38,,,FILE,FILE,,,,,,,,,,,,,,
Tzu-Hsin (Cindy) Yang,Taiwan,Taipei National University of the Arts | California Institute of the Arts,,Taichung,,,female,FILE Festival | site da artista,alto,,lote_38,,,FILE,FILE,,,,,,,,,24.1634888,120.6467399,100.0,,,
Tânia Rodrigues,Brazil,Faculdade de Ciências Humanas e Sociais da Universidade do Algarve,,,,,female,ORCID | Ciência Iscte,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Uwe Heine Debrodt,Mexico,"Facultad de Química, Universidad Nacional Autónoma de México",,,,,male,Miami New Media Festival,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Valentina Besegher,Italy,,,,,,female,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Veneta Androva,Bulgaria,Weißensee Academy of Art Berlin | Humboldt-Universität zu Berlin | Bezalel Academy of Arts and Design,,,,,female,site da artista,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Veronika Obertová,Slovakia,Academy of Fine Arts and Design in Bratislava,,,,,female,Animafest,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Vincent Gallut,France,,,,,,male,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Vincent Houzé,France,,,,,,male,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Vincenzo Lodigiani,Italy,,,,,,male,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Vj Iluminous (Manolo Fraga),Brazil,Universidade Federal do Paraná,,,,,male,FILE Festival,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Vladimir Leschiov,Latvia,"J. Rosenthal Riga Art School | Konstfack University College of Arts, Crafts and Design",,Daugavpils,,,male,FILE Festival | Animation World Network,médio,,lote_39,,,FILE,FILE,,,,,,,,,55.874818283,26.536061783,100.0,,,
Wayne Kirby,United States,Juilliard School | Yale University | New York University,,,,,male,site pessoal | FILE Festival,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Will Luers,United States,Columbia University | University of Pennsylvania,,,,,male,CV do artista,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
William A. Brown,United States,University of Florida | Emory University,,,,,male,Vimeo do artista,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
William Loew,France,,,,,,male,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Wim van der Plas,Netherlands,Erasmus University Rotterdam,,,,,male,ACM SIGGRAPH History Archives,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
XXIIVV,Canada,,,,,,male,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Xabier Monreal,Spain,Escola Massana,,,,,male,FILE Festival,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Xavier Boissarie,France,Université Paris 8 | Villa Arson | École supérieure d'art d'Aix-en-Provence,,,,,male,site da Orbe,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Xaviera Lopez,Chile,,,,,,female,,,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Yali Herbet,Israel,Bezalel Academy of Arts and Design,,,,,female,FILE Festival | Animafest,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Yasmin Salama,Palestine,,,Palestine,,,,,,,lote_39,,,FILE,FILE,,,,,,,,,31.912719787,35.204684057,100.0,,,
Yiannis Kranidiotis,Greece,University of Patras | University of Essex | National and Kapodistrian University of Athens,,,,,male,site do artista | Onassis Foundation,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Zac Cooper,,University of Washington,,,,,male,University of Washington,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Zlatan Filipović,Bosnia and Herzegovina,"Alfred University, New York State College of Ceramics",,Sarajevo,,,male,American University of Sharjah,alto,,lote_39,,,FILE,FILE,,,,,,,,,43.8581843,18.4123422,100.0,,,
Zuza Banasinska,Poland,Jagiellonian University | Academy of Fine Arts in Kraków | Universität der Künste Berlin | Sandberg Instituut,,Warsaw,,,female,FILE Festival | Berlinale,médio,,lote_39,,,FILE,FILE,,,,,,,,,52.229827082,21.011731518,100.0,,,
claRa apaRicio yoldi,Spain,"Universidad Complutense de Madrid | London Metropolitan University | Goldsmiths, University of London",,Spain,,,female,dossiê da artista | Domestika,alto,,lote_39,,,FILE,FILE,,,,,,,,,40.22794966,-3.646063105,100.0,,,
jtwine,Germany,Siemens Business School | Kunstschule Rödel in Mannheim | Universität der Künste Berlin,,,,,male,galeria do artista | FILE Festival,médio,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Érica Azzellini,Brazil,Faculdade Cásper Líbero,,,,,female,FAPESP,alto,,lote_39,,,FILE,FILE,,,,,,,,,,,,,,
Özge Samancı,Turkey,Georgia Institute of Technology,,İzmir,,,female,site da artista | Northwestern University,alto,,lote_40,,,FILE,FILE,,,,,,,,,38.418724,27.129601,100.0,,,
‡Starvingpoet§,United States,autodidata,,,,,non-binary,FILE Festival | site da artista,alto,,lote_40,,,FILE,FILE,,,,,,,,,,,,,,
3NÓS3,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Abelardo da Hora,Brazil,,,São Lourenço da Mata,,,male,,,,,,,MAC,MAC,,,,,,,,,-7.9977088,-35.0305636,100.0,,,
Abelardo Zaluar,,,,,,,,,,,,,,MAC; outros,MAC; outros,Rio de Janeiro,Escola Nacional de Belas Artes (Enba),1944-1948,https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia,https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia,https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar,alta,MAC USP,,,,,,
Avraham Naton,Israel,,,Reni,Kiryat Shaul Cemetery,Givatayim,male,,,As fontes consultadas usam a forma Avraham Naton.,,,,MAC; outros,MAC; outros,Bucareste (Romênia),Bucharest Art Academy,1930-1935,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,alta,MAC USP,27.165741,76.739915,100.0,32.0708088,34.8128794,100.0
Abraham Palatnik,Brazil,Montefiori Technical School,Jewish people,Natal,,Rio de Janeiro,male,,,,,,,MAC,MAC,,,,,,,,,-5.7945609,-35.2103978,100.0,-22.9014475,-43.1789159,100.0
Achille Funi,Italy,Brera Academy,,Ferrara,,Appiano Gentile,male,,,A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.,,,,MAC; outros,MAC; outros,"Ferrara, Itália; Milão, Itália",Art School “Dosso Dossi”; Accademia di Brera,s.d.; 1906–1910,https://www.laocoontegalleria.it/en/achille-funi/,https://www.laocoontegalleria.it/en/achille-funi/,https://www.laocoontegalleria.it/en/achille-funi/,alta,MAC USP,44.8378378,11.6203994,100.0,45.7386111,8.9798518,100.0
Ademar Manarini,Brazil,,,Campinas,,São Paulo,male,,,,,,,MAC,MAC,,,,,,,,,-22.9073702,-47.0628996,100.0,-23.5486657,-46.6382522,100.0
Ademar Shimabukuro,,,,,,,,,,graduação em arquitetura e urbanismo,,,,MAC; outros,MAC; outros,"Campinas, Brasil",Pontifícia Universidade Católica de Campinas,1991,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,media,MAC USP,,,,,,
Adir Botelho,Brazil,,,Rio de Janeiro,,,male,,,,,,,MAC,MAC,,,,,,,,,-22.9014475,-43.1789159,100.0,,,
Adir Sodré,,,,,,,male,,,formação em ateliê; escola formal não localizada,,,,MAC; outros,MAC; outros,"Cuiabá, Brasil",Ateliê Livre da Fundação Cultural de Mato Grosso,a partir de 1977,https://museudeartesacra.org.br/2021/09/15/adir-sodre/,https://museudeartesacra.org.br/2021/09/15/adir-sodre/,https://museudeartesacra.org.br/2021/09/15/adir-sodre/,media,MAC USP,,,,,,
Adja Yunkers,United States,,,Riga,,New York City,male,,,,,,,MAC,MAC,,,,,,,,,56.978018573,24.122476403,100.0,40.7130466,-74.0072301,100.0
Adolfo Mexiac,Mexico,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",,Cuto de la Esperanza,,Cuernavaca,male,,,,,,,MAC,MAC,,,,,,,,,19.731118611,-101.340299167,100.0,18.930190802,-99.225949688,100.0
Adolpho Hollanda,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Adriano Spatola,Italy,,,Matulji,,Sant'Ilario d'Enza,male,,,,,,,MAC,MAC,,,,,,,,,45.431214263,14.240886206,100.0,44.7634444,10.4492407,100.0
Giulia Niccolai,Italy,,,Milan,,Milan,female,,,,,,,MAC,MAC,,,,,,,,,45.4636183,9.1881156,100.0,45.4636183,9.1881156,100.0
Afro Basaldella,Italy,Liceo Artistico Di Porta Romana E S.F.,,Udine,,Zurich,male,,,formação artística registrada de modo geral; datas aproximadas,,,,MAC; outros,MAC; outros,"Veneza, Itália",Accademia di Belle Arti di Venezia,c. 1930s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,media,MAC USP,46.0649418,13.2307247,100.0,47.38454096,8.529927493,100.0
Agenore Fabbri,Italy,"Academy of Fine Arts, Florence",,Pistoia,,Savona,male,,,,,,,MAC,MAC,,,,,,,,,43.9321551,10.9185234,100.0,44.3110703,8.4772463,100.0
Aharon Kahana,Israel,,,Stuttgart,Kiryat Shaul Cemetery,Paris,male,,,,,,,MAC,MAC,,,,,,,,,48.775816999,9.177734,100.0,48.856372814,2.352529617,100.0
Ahmes de Paula Machado,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Ahron Giladi,,,,,,,,,,instituição identificada; datas não localizadas com precisão,,,,MAC; outros,MAC; outros,"Jerusalém, Israel",Bezalel Academy of Arts and Design,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,media,MAC USP,,,,,,
Aieto Manetti Neto,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Ailema Bianchetti,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Aimée,,,,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,,,,MAC; outros,MAC; outros,,,,,,,,MAC USP,,,,,,
Aki Kuroda,Japan,Doshisha University,,Kyoto,,,male,,,,,,,MAC,MAC,,,,,,,,,35.01169705,135.76816161,100.0,,,
Alain Snyers,France,École nationale supérieure des arts décoratifs,,Zaire,,,male,,,,,,,MAC,MAC,,,,,,,,,-6.611761368587,13.569366130853,100.0,,,
Alan Davie,United Kingdom,Edinburgh College of Art,,Grangemouth,,Hertford,male,,,As fontes convergem para Edinburgh College of Art.,,,,MAC; outros,MAC; outros,"Edimburgo, Escócia",Edinburgh College of Art,1937–1941,https://en.wikipedia.org/wiki/Alan_Davie; https://gulbenkian.pt/cam/artist/alan-davie/,https://en.wikipedia.org/wiki/Alan_Davie; https://gulbenkian.pt/cam/artist/alan-davie/,https://en.wikipedia.org/wiki/Alan_Davie,alta,MAC USP,56.019555095,-3.721883769,100.0,51.796979662,-0.076742238,100.0
Alastair Milne Michie,France,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Albano Afonso,Brazil,,,São Paulo,,,male,,,,,,,MAC,MAC,,,,,,,,,-23.5486657,-46.6382522,100.0,,,
Albert Gleizes,France,,,Paris,,Saint-Rémy-de-Provence,male,,,Autodidata; não foi localizada instituição formal de ensino artístico.,,,,MAC; outros,MAC; outros,"Paris, França",,c. 1901,https://en.wikipedia.org/wiki/Albert_Gleizes,https://en.wikipedia.org/wiki/Albert_Gleizes,https://en.wikipedia.org/wiki/Albert_Gleizes,media,MAC USP,48.856372814,2.352529617,100.0,43.788708024,4.831555932,100.0
Albert Hien,Germany,,,Munich,,,male,,,,,,,MAC,MAC,,,,,,,,,48.143438999,11.573599,100.0,,,
Leonilson,Brazil,Fundação Armando Alvares Penteado,,Fortaleza,,São Paulo,male,,,"aulas com Nelson Leirner, Júlio Plaza e Regina Silveira na FAAP",,,,MAC; outros,MAC; outros,"São Paulo, Brasil; São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP); Escola de Artes Aster,1977–1980; 1978–1981,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,alta,MAC USP,-3.7184625,-38.5416698,100.0,-23.5486657,-46.6382522,100.0
Alberto Bitar,,,,,,,,,,Nome amplo e fontes abertas insuficientes nesta rodada.,,,,MAC,MAC,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://enciclopedia.itaucultural.org.br/,,,baixa,,,,,,,
Alberto da Veiga Guignard,Brazil,"Academy of Fine Arts, Munich",,Nova Friburgo,Church of Saint Francis of Assisi (Ouro Preto),Belo Horizonte,male,,,"estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado",,,,MAC; outros,MAC; outros,"Munique, Alemanha; Florença, Itália",Academias de Belas Artes de Munique,,Wikipédia,Wikipédia,,media,Museu da Inconfidência,-22.2891837,-42.5345547,100.0,-19.9181771,-43.9370534,100.0
Alberto Donat,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Alberto Lambach,,,,,,,,,,Nome amplo e fontes abertas insuficientes nesta rodada.,,,,MAC,MAC,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://enciclopedia.itaucultural.org.br/,,,baixa,,,,,,,
Alberto Magnelli,Italy,,,Florence,Longs-Réages cemetery,Meudon,male,,,Autodidata; fontes consultadas indicam ausência de formação formal em escola de arte.,,,,MAC; outros,MAC; outros,"Florença, Itália",,c. 1907,https://prabook.com/web/alberto.magnelli/2557564; https://www.wikiart.org/en/alberto-magnelli,https://prabook.com/web/alberto.magnelli/2557564; https://www.wikiart.org/en/alberto-magnelli,https://www.wikiart.org/en/alberto-magnelli,media,MAC USP,43.7686976,11.2569291,100.0,48.813028121,2.23857165,100.0
Alberto Martins,,,,,,,,,,,,,,MAC,MAC,"Fortaleza, Brasil; Fortaleza, Brasil",Colégio Militar de Fortaleza; Ateneu São José,1934; 1939,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,media,,,,,,,
Alberto Salietti,Italy,,,Ravenna,,Chiavari,male,,,,,,,MAC; outros,MAC; outros,"Milão, Itália",Accademia di Brera,até 1914,Wikipedia (it); Pittori Liguri,Wikipedia (it); Pittori Liguri,Wikipedia (it); Pittori Liguri,media,MAC USP,44.4157367,12.1965892,100.0,44.317063,9.3202459,100.0
Alberto Simon,,,,,,,,,,Nome amplo e fontes abertas insuficientes nesta rodada.,,,,MAC,MAC,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://enciclopedia.itaucultural.org.br/,,,baixa,,,,,,,
Alberto Teixeira,Brazil,,,,,,male,,,,,,,MAC; outros,MAC; outros,Lisboa (Portugal); São Paulo (SP); Paris (França),Sociedade Nacional de Belas Artes; aulas com Samson Flexor; Atelier-Abstração,1947-1950; 1952-1955; 1956-1958,https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/,https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/,https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/,alta,MAC USP,,,,,,
Alcindo Moreira Filho,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Aldemir Martins,Brazil,,,Aurora,,São Paulo,male,,,,,,,MAC; outros,MAC; outros,"Fortaleza, Brasil; Fortaleza, Brasil",Colégio Militar de Fortaleza; Ateneu São José,1934; 1939,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,media,MAC USP,39.7129336,-104.8195761,100.0,-23.5486657,-46.6382522,100.0
Aldir Mendes de Souza,Brazil,,,São Paulo,,São Paulo,male,,,,,,,MAC,MAC,,,,,,,,,-23.5486657,-46.6382522,100.0,-23.5486657,-46.6382522,100.0
Aldo Bonadei,Brazil,,,São Paulo,,São Paulo,male,,,também frequentou o ateliê de Antonio Rocco,,,,MAC; outros,MAC; outros,São Paulo,ateliê de Pedro Alexandrino,1923–1928,Guia das Artes,Guia das Artes,Guia das Artes,media,MAC USP,-23.5486657,-46.6382522,100.0,-23.5486657,-46.6382522,100.0
Aldo Severi,Argentina,,,Buenos Aires,,Quilmes,male,,,,,,,MAC,MAC,,,,,,,,,-34.6090264,-58.3732215,100.0,-34.7246085,-58.2602847,100.0
Aldo Simoncini,San Marino,,,San Marino,,,male,,,,,,,MAC,MAC,,,,,,,,,43.938171052,12.463507795,100.0,,,
Alejandro Pérez Cruz,Mexico,,,Ciudad Nezahualcóyotl,,,male,,,,,,,MAC,MAC,,,,,,,,,19.407701236,-99.022421403,100.0,,,
Alejandro Santiago Ramírez,Mexico,,,Teococuilco de Marcos Pérez Municipality,,Oaxaca de Juárez Municipality,male,,,,,,,MAC,MAC,,,,,,,,,17.327756559,-96.670695113,72.86,22.90531,-104.62135,82.39
Aleksander Kobzdej,Poland,Jan Matejko Academy of Fine Arts in Krakow,,Olesko,Powązki Military Cemetery,Warsaw,male,,,datas aproximadas,,,,MAC; outros,MAC; outros,"Cracóvia, Polônia",Academy of Fine Arts in Kraków,c. 1946–1951,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,media,MAC USP,50.48064272,14.196104789,100.0,52.229827082,21.011731518,100.0
Aleksander Turek,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Alena Kučerová,Czech Republic,,,Prague,,,female,,,,,,,MAC,MAC,,,,,,,,,50.071199678,14.450977012,100.0,,,
Ales Villegas,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Alessandro Tagliolini,Italy,,,Rome,,Pietrasanta,male,,,,,,,MAC,MAC,,,,,,,,,41.8905568,12.4942679,100.0,43.9566474,10.2266272,100.0
Alex Flemming,Brazil,,,São Paulo,,,male,,,"Formação combinou curso livre, passagem universitária e estudos técnicos com artistas-professores.",,,,MAC; outros,MAC; outros,"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil; Nova Iorque, Estados Unidos","Curso Livre de Cinema da Fundação Armando Álvares Penteado (FAAP); Faculdade de Arquitetura e Urbanismo da USP; estudos de serigrafia e gravura com Regina Silveira, Julio Plaza e Romildo Paiva; Pratt Institute Manhattan",1972–1974; até 1976; 1979–1980; 1981–1983,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/; https://pt.wikipedia.org/wiki/Alex_Flemming,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/; https://pt.wikipedia.org/wiki/Alex_Flemming,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/,alta,MAC USP,-23.5486657,-46.6382522,100.0,,,
Alex Gama,Brazil,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Alex Katz,United States,Cooper Union,,New York City,,,male,,,,,,,MAC,MAC,,,,,,,,,40.7130466,-74.0072301,100.0,,,
Alex Mlynárčik,Czechoslovakia,,,Žilina,,,male,,,,,,,MAC,MAC,,,,,,,,,49.223728185,18.740108104,100.0,,,
Alex Vallauri,Brazil,,,Asmara,,São Paulo,male,,,,,,,MAC,MAC,,,,,,,,,15.339,38.9370971,100.0,-23.5486657,-46.6382522,100.0
Alexander,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
