educated at,coordinate location
Faculdade Cásper Líbero,"-23.56552983,-46.651333"
Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo,
Faculdade de Arquitetura e Urbanismo da Universidade Federal do Rio de Janeiro,
Faculdade de Belas Artes de São Paulo ,
Faculdade de Belas-Artes da Universidade de Lisboa,"38.70893,-9.14067"
Faculdade de Direito do Recife,"-8.0595839,-34.882675"
Faculdade de Letras da Universidade de Coimbra,"40.208341,-8.4253"
Faculdade Impacta de Tecnologia,
Faculdade Interamericana de Porto Velho,
Faculdade Paulista de Artes,"-23.559835,-46.643268"
Faculdade Santa Marcelina,
Faculty of Architecture and Urbanism of the University of São Paulo,"-23.56012,-46.72985"
Faculty of Arts and Design,
Faculty of Arts of Parana State,"-25.4096065,-49.2484327"
"Faculty of Arts, Charles University in Prague",
Faculty of Chemistry (UNAM),"19.33191,-99.18193"
"Faculty of Dramatic Arts, Belgrade",
"Faculty of Electrical Engineering and Computing, University of Zagreb","45.80091667,15.97127778"
Faculty of Fine Arts of the University of Porto,"41.14555,-8.60075"
Faculty of History and Philology of Moscow University,
"Faculty of Law, German University in Prague",
Faculty of Nutrition and Food Science of the University of Porto,
"Faculty of Pharmacy, University of Lisbon",
"Faculty of Philosophy, Languages and Literature, and Human Sciences",
Federal University of Bahia,"-12.9928637,-38.5205973"
Federal University of Espírito Santo,"-20.2766256,-40.3036766"
Federal University of Juiz de Fora,"-21.7747,-43.3683"
Federal University of Minas Gerais,"-19.8690878,-43.9663841"
Federal University of Pernambuco,"-8.0517328,-34.9507155"
Federal University of Rio de Janeiro,"-22.8625,-43.223888888889"
Federal University of Rio Grande do Sul,"-30.033611111111,-51.219166666667"
Federal University of Rondônia,"-8.8356,-63.9389"
Filmarche,
Folkwang University of the Arts,"51.3875,7.00444"
Freiherr-vom-Stein-Gymnasium,"51.61055555555556,7.515833333333333"
Friedrich-Alexander-Universität Erlangen-Nürnberg,"49.600717498174966,11.004722360236146"
Friedrich-Eugens-Gymnasium Stuttgart,"48.7789,9.16278"
Fundação Armando Alvares Penteado,"-23.5450155,-46.6630802"
Gakushuin University,
Gallerie dell'Accademia,"45.431078,12.328139"
George Heriot's School,"55.9459133800392,-3.19467430133454"
Georgia Tech,"33.77580555555556,-84.39469444444444"
Gerasimov Institute of Cinematography,"55.835077,37.637272"
Gerlesborg School of Fine Art,"58.488735,11.341664"
German School of Barcelona,"41.3825,2.08916667"
Gerrit Rietveld Academie,"52.3413,4.86"
Ghent Royal Conservatory,
Gilardo Gilardi Conservatory of Music,"-34.899,-57.984"
Glasgow School of Art,"55.8660504111646,-4.26374637969825"
Gobelins,"48.836944444444,2.3536111111111"
"Goldsmiths, University of London","51.474269444444445,-0.03541111111111111"
Graduate School of Fine Arts of Algiers,"36.76153,3.04386"
Graz University of Technology,"47.068888888889,15.45"
Haagsche Teekenacademie,
Hacettepe University,"39.867222222222,32.734444444444"
Hamburg University of Applied Sciences,"53.55627,10.02196"
HaMidrasha – Faculty of the Arts,"32.200699,34.918464"
"Hanze University of Applied Sciences, Groningen","53.24051389,6.53270278"
Harvard University,"42.374443888889,-71.116943888889"
Haute école des arts du Rhin,"48.5825,7.7591"
Heatherley School of Fine Art,"51.4787,-0.1847"
Hele's School,"50.3924,-4.06548"
"Henry van de Velde Institute, Antwerp",
Herron School of Art and Design,"39.7713,-86.1715"
HKU University of the Arts Utrecht; Utrecht University,
Hochschule Düsseldorf,"51.24738888888889,6.791361111111112"
Hochschule für bildende Künste Hamburg,"53.56757,10.03132"
Hochschule für Gestaltung Offenbach,"50.1075,8.76472222"
Hogeschool Arnhem en Nijmegen ,
Horikoshi High School,"35.701111,139.6765"
Humboldt-Universität zu Berlin,"52.518055555555556,13.393333333333333"
Hungarian University of Fine Arts,
Hunter College,"40.768538,-73.964741"
IADE Superior de Marketing e Publicidade,
Ibero-American University,"19.371111111111,-99.263555555556"
IED European Institute ,
Ilia Petrov National High School of Fine Arts ,
Imperial College London,"51.498308,-0.176882"
Indiana University Bloomington,"39.167222,-86.521389"
Indiana University of Pennsylvania,"40.617,-79.16"
Industrial University of Santander,
Institut des arts de diffusion,"50.670524,4.604013"
Institut supérieur des arts et du design de Toulouse ,
Institute of Political Studies in Aix-en-Provence ,
Instituto Allende,"20.9092,-100.747"
Instituto de Ciências Biomédicas Abel Salazar,
Instituto Nacional de Bellas Artes y Literatura,"19.435277777777777,-99.14138888888888"
Instituto Pedagógico,
Instituto Superior de Arte,"23.088783,-82.446802"
Interlochen Center for the Arts,"44.631026,-85.768698"
International College of Cyprus,
International Dell’Arte School,
Ionian University,"39.62055556,19.91555556"
ISIA Urbino,"43.723173,12.637951"
Istituto di Musica G. Verdi di Asti ,
Istituto Europeo di Design,"45.44625233345661,9.194896909398269"
